CarParkID,latitude,longitude
BJ26,1.3837969,103.7727052
BJ27,1.3826405,103.7709504
BJ28,1.3789248,103.7655460
BJ29,1.3849381,103.7676831
BJ3,1.3773102,103.7693773
BJ30,1.3870293,103.7689793
BJ31,1.3879389,103.7674780
BJ32,1.3865640,103.7669356
BJ33,1.3791195,103.7720111
BJ34,1.3877961,103.7665178
BJ35,1.3870415,103.7659137
BJ36,1.3862704,103.7653387
BJ37,1.3854321,103.7646849
BJ38,1.3851367,103.7634266
BJ39,1.3842318,103.7628601
BJ4,1.3755314,103.7722579
BJ40,1.3828258,103.7629016
BJ41,1.3755121,103.7654545
BJ42,1.3769213,103.7642864
BJ43,1.3817204,103.7616776
BJ44,1.3806489,103.7649868
BJ45,1.3786880,103.7650088
BJ48,1.3871858,103.7646030
BJ49,1.3848975,103.7614868
BJ50,1.3881840,103.7736889
BJ51,1.3793984,103.7634643
BJ52,1.3791134,103.7626379
BJ53,1.3898028,103.7719321
BJ54,1.3890478,103.7735001
BJ55,1.3862829,103.7607770
BJ56,1.3858912,103.7589498
BJ57,1.3852512,103.7601704
BJ58,1.3875244,103.7712726
BJ60,1.3883210,103.7695190
BJ61,1.3890049,103.7677929
BJ62,1.3842686,103.7713963
BJ63,1.3813155,103.7702911
BJ65,1.3847042,103.7587614
BJ66,1.3862486,103.7577026
BJ67,1.3873500,103.7579829
BJ68,1.3853817,103.7699702
BJ69,1.3878520,103.7630728
BJ71,1.3870308,103.7619630
BJ72,1.3888778,103.7608720
BJ8,1.3746997,103.7735958
BKE1,1.3078189,103.8515963
BKE2,1.3141281,103.8554800
BKE3,1.3144152,103.8558008
BKE4,1.3144504,103.8568410
BKE7,1.3126130,103.8553220
BKE9,1.3073372,103.8514638
BKRM,1.3172763,103.8613681
BLM,1.3155064,103.8609587
BL10,1.3437618,103.7114251
BL13,1.3446926,103.7150352
BL15,1.3459715,103.7075622
BL17,1.3478712,103.7077407
BL18,1.3465496,103.7144238
BL19,1.3487773,103.7133457
BL22,1.3425435,103.7137499
BL23,1.3495606,103.7115798
BL24,1.3411571,103.7101759
BL3,1.3468747,103.7092346
BL8,1.3454251,103.7133909
BL8L,1.3462246,103.7120638
BMVM,1.2846263,103.8231292
BM1,1.2863027,103.8095715
BM10,1.2880960,103.8140698
BM13,1.2868982,103.8121918
BM14,1.2890407,103.8088479
BM19,1.2857124,103.8187026
BM2,1.2868508,103.8099531
BM20,1.2852473,103.8187602
BM26,1.2872915,103.8074268
BM28,1.2839993,103.8158232
BM29,1.2836347,103.8170992
BM3,1.2877078,103.8115278
BM30,1.2832343,103.8167334
BM31,1.2824491,103.8165750
BM4,1.2876673,103.8089551
BM5,1.2884316,103.8076195
BM6,1.2895334,103.8137645
BM9,1.2890980,103.8143580
BP1,1.2727949,103.8248700
BP2,1.2740917,103.8270043
BRBL,1.3065969,103.8507075
BRB1,1.3060667,103.8505860
BRM,1.3207472,103.8661729
BRM1,1.3264855,103.8567290
BRM3,1.3215278,103.8546563
BRM4,1.3227303,103.8560740
BRM5,1.3275174,103.8594306
BRM6,1.3277831,103.8611934
BRM7,1.3243739,103.8554020
BR10,1.3230185,103.8545043
BR11,1.3262618,103.8589644
BR12,1.3272151,103.8577183
BR14,1.3259557,103.8599835
BR4,1.3235773,103.8554214
BR5,1.3249090,103.8581906
BR6,1.3230388,103.8535358
BR8,1.3251600,103.8545583
BR9,1.3189626,103.8507431
BTM,1.2867839,103.8332897
BTM2,1.2869631,103.8296410
BTM3,1.2863112,103.8286983
BVM2,1.2834928,103.8233757
BWM,1.2869280,103.8067014
B10,1.3290283,103.9337077
B10M,1.3292101,103.9325240
B11,1.3283420,103.9303962
B14,1.3291591,103.9314451
B16,1.3235011,103.9405595
B17,1.3242177,103.9418572
B19,1.3219245,103.9409610
B20,1.3197997,103.9434204
B21,1.3281780,103.9410465
B23L,1.3304435,103.9398090
B23M,1.3306878,103.9406434
B24,1.3326472,103.9382946
B25,1.3329691,103.9404903
B26,1.3343080,103.9403406
B27,1.3341177,103.9380381
B28,1.3325448,103.9355711
B30,1.3299428,103.9387534
B31,1.3285012,103.9388502
B32,1.3274107,103.9367575
B33,1.3272409,103.9358002
B34,1.3283123,103.9356734
B35,1.3290581,103.9351762
B40,1.3325499,103.9327701
B41,1.3325549,103.9314929
B42,1.3324518,103.9308212
B43,1.3311052,103.9276034
B44,1.3339713,103.9275088
B44B,1.3323014,103.9229110
B45,1.3316800,103.9254290
B46,1.3313212,103.9241820
B47,1.3308959,103.9222478
B48,1.3300959,103.9234212
B48B,1.3299669,103.9257588
B49,1.3321858,103.9266682
B50,1.3304471,103.9130666
B51,1.3321465,103.9163962
B52,1.3339092,103.9178942
B53,1.3342515,103.9151772
B54,1.3333637,103.9152037
B57,1.3358434,103.9190193
B59,1.3375089,103.9259610
B6,1.3263305,103.9303395
B60,1.3372324,103.9290567
B63,1.3381537,103.9226165
B65,1.3200329,103.9456593
B65L,1.3182341,103.9476195
B65M,1.3178894,103.9463324
B66,1.3305482,103.9043396
B67,1.3320158,103.9063948
B68,1.3225049,103.9369220
B69,1.3334262,103.9419707
B7,1.3251312,103.9319217
B7A,1.3271317,103.9340370
B7B,1.3265215,103.9348400
B70,1.3262898,103.9279955
B71,1.3242939,103.9243004
B72,1.3343771,103.9073898
B73,1.3324923,103.9069672
B74,1.3328469,103.9090553
B75,1.3330705,103.9176017
B79,1.3367762,103.9374066
B8,1.3258815,103.9282762
B8B,1.3247921,103.9279467
B80,1.3382683,103.9233606
B81,1.3232111,103.9349426
B83,1.3264690,103.9222713
B84,1.3262261,103.9342048
B85,1.3260802,103.9413578
B86,1.3307672,103.9356912
B88,1.3222730,103.9382986
B89,1.3309592,103.9372655
B9,1.3301727,103.9338152
B90,1.3225376,103.9396351
B91,1.3327973,103.9142523
B92,1.3216974,103.9339351
B94,1.3322602,103.9293574
B94A,1.3313036,103.9291792
B95,1.3255130,103.9350827
